GEOID,Full Name,Congressional District
90001,"90001 - Los Angeles (South Los Angeles), Florence-Graham",40 43 44
90002,90002 - Los Angeles (Watts),43 44
90003,90003 - Los Angeles (South Los Angeles/Broadway Manchester),37 40 43
90004,"90004 - Los Angeles (Rampart Village, Virgil Village, Wilshire Center)",28 33 34
90005,90005 - Los Angeles (Wilshire Center),33 34 37
90006,"90006 - Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown)",34
90007,90007 - Los Angeles (Univerity Park),34 37 40
90008,"90008 - Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)",37
90010,90010 - Los Angeles (Wilshire Center),33 34 37
90011,90011 - Los Angeles (Southeast Los Angeles),37 40
90012,"90012 - Los Angeles (Downtown Central, Chinatown)",34
90013,90013 - Los Angeles (Downtown Central),34
90014,90014 - Los Angeles (Downtown East),34
90015,90015 - Los Angeles (Dowtown South),34 37 40
90016,90016 - Los Angeles (West Adams),37
90017,90017 - Los Angeles (Downtown West),34
90018,"90018 - Los Angeles (Jefferson Park, Leimert Park)",34 37
90019,"90019 - Los Angeles (Arlington Heights, Mid-City)",34 37
90020,"90020 - Los Angeles (Western Wilton, Wilshire Center, Windsor Square)",33 34
90021,90021 - Los Angeles (Downtown Southeast),34 40
90022,90022 - East Los Angeles,27 34 38 40
90023,90023 - Los Angeles (Boyle Heights),34 40
90024,90024 - Los Angeles (West Los Angeles),33 37
90025,90025 - Los Angeles (West Los Angeles),33 37
90026,"90026 - Los Angeles (Echo Park, Silver Lake)",28 34
90027,"90027 - Los Angeles (Griffith Park, Los Feliz)",28
90028,90028 - Los Angeles (Hollywood),28
90029,90029 - Los Angeles (East Hollywood),28
90031,"90031 - Los Angeles (Lincoln Heights, Montecito Heights)",28 34
90032,"90032 - Los Angeles (El Sereno, University Heights)",34
90033,90033 - Los Angeles (Boyle Heights),34
90034,90034 - Los Angeles (Palms),37
90035,"90035 - Los Angeles (Pico-Robertson, Beverlywood)",33 37
90036,"90036 - Los Angeles (Farmers Market, Miracle Mile,Wilshire-La Brea)",28 33 37
90037,90037 - Los Angeles (South Los Angeles),37 40
90038,90038 - Los Angeles (Hollywood),28 34
90039,"90039 - Los Angeles (Atwater Village, Elysian Valley,Silver Lake)",28
90040,90040 - Commerce,40
90041,90041 - Los Angeles (Eagle Rock),34
90042,90042 - Los Angeles (Highland Park),27 28 34
90043,"90043 - Los Angeles (Hyde Park, View Park, Windsor Hills)",37
90044,"90044 - Los Angeles (South Los Angeles), Athens",37 43 44
90045,90045 - Los Angeles (Westchester),37 43
90046,"90046 - Los Angeles (Mount Olympus), West Hollywood",28 30 33
90047,90047 - Los Angeles (South Los Angeles),37 43
90048,"90048 - Los Angeles (West Beverly), West Hollywood",28 33 37
90049,"90049 - Los Angeles (Bel Air Estates, Brentwood)",30 33
90056,90056 - Ladera Heights,37
90057,90057 - Los Angeles (Westlake),34
90058,"90058 - Los Angeles (Southeast Los Angeles), Vernon",34 40
90059,"90059 - Los Angeles (Watts), Willowbrook",43 44
90061,90061 - Los Angeles (South Los Angeles),43 44
90062,90062 - Los Angeles (South Los Angeles),37
90063,"90063 - Los Angeles (Boyle Heights), City Terrace",34 40
90064,"90064 - Los Angeles (Cheviot Hills, Rancho Park)",33 37
90065,"90065 - Los Angeles (Cypress Park, Glassell Park,Mount Washington)",28 34
90066,"90066 - Los Angeles (Mar Vista), Culver City",33 37 43
90067,90067 - Los Angeles (Century City),37
90068,"90068 - Los Angeles (Hollywood), West Hollywood",28 30
90069,"90069 - West Hollywood, Los Angeles (Hollywood)",28
90071,90071 - Los Angeles,34
90073,90073 - Veterans Administration,33
90077,"90077 - Los Angeles (Bel Air Estates, Beverly Glen)",30 33
90079,90079 - Los Angeles (Downtown-California Market Center),34
90089,90089 - Los Angeles (University of Southern California),34 37
90090,90090 - Los Angeles (Dodger Stadium),34
90094,90094 - Los Angeles (Playa Vista),43
90095,"90095 - Los Angeles (University of California, Los Angeles)",33
90201,90201 - Bell,40
90210,90210 - Beverly Hills,28 30 33
90211,90211 - Beverly Hills,33
90212,90212 - Beverly Hills,33 37
90220,90220 - Compton,44
90221,90221 - Compton,40 44
90222,90222 - Compton,44
90230,90230 - Culver City,37 43
90232,90232 - Culver City,37
90240,90240 - Downey,40
90241,90241 - Downey,38 40
90242,90242 - Downey,40
90245,90245 - El Segundo,33
90247,90247 - Gardena,43
90248,90248 - Gardena,43 44
90249,90249 - Gardena,43
90250,90250 - Hawthorne,43
90254,90254 - Hermosa Beach,33
90255,90255 - Huntington Park,40 44
90260,90260 - Lawndale,43
90262,90262 - Lynwood,40 44
90263,90263 - Malibu,33
90265,90265 - Malibu,26 33
90266,90266 - Manhattan Beach,33
90270,90270 - Maywood,40
90272,90272 - Pacific Palisades,33
90274,90274 - Palos Verdes Peninsula,33
90275,90275 - Rancho Palos Verdes,33
90277,90277 - Redondo Beach,33
90278,90278 - Redondo Beach,33
90280,90280 - South Gate,44
90290,90290 - Topanga,33
90291,90291 - Los Angeles (Venice),33 37
90292,90292 - Marina Del Rey,33 37
90293,90293 - Los Angeles (Playa Del Rey),33 43
90301,90301 - Inglewood,43
90302,90302 - Inglewood,37 43
90303,90303 - Inglewood,43
90304,90304 - Inglewood,43
90305,90305 - Inglewood,43
90401,90401 - Santa Monica,33
90402,90402 - Santa Monica,33
90403,90403 - Santa Monica,33
90404,90404 - Santa Monica,33
90405,90405 - Santa Monica,33 37
90501,90501 - Torrance,43
90502,90502 - Torrance,43
90503,90503 - Torrance,33 43
90504,90504 - Torrance,33 43
90505,90505 - Torrance,33 43
90506,90506 - Torrance,43
90601,90601 - Whittier,32 38
90602,90602 - Whittier,38
90603,90603 - Whittier,38
90604,90604 - Whittier,38
90605,90605 - Whittier,38
90606,90606 - Whittier,38
90638,90638 - La Mirada,38 39
90640,90640 - Montebello,27 38 40
90650,90650 - Norwalk,38 40
90660,90660 - Pico Rivera,32 38
90670,90670 - Santa Fe Springs,38 40
90701,90701 - Artesia,38
90703,90703 - Cerritos,38
90706,90706 - Bellflower,38 40
90710,90710 - Los Angeles (Harbor City),33 43
90712,90712 - Lakewood,38
90713,90713 - Lakewood,38
90715,90715 - Lakewood,38
90716,90716 - Hawaiian Gardens,38
90717,90717 - Lomita,33 43
90723,90723 - Paramount,40
90731,90731 - Los Angeles (San Pedro),33 44
90732,90732 - San Pedro,33 43 44
90744,90744 - Los Angeles (Wilmington),33 44
90745,90745 - Carson,44
90746,90746 - Carson,44
90747,90747 - Carson,44
90802,90802 - Long Beach,44
90805,90805 - Long Beach,38 44
90810,90810 - Long Beach,44
90813,90813 - Long Beach,44
91001,91001 - Altadena,27
91006,91006 - Arcadia,27 32
91007,91007 - Arcadia,27
91008,91008 - Bradbury,27 32
91010,91010 - Duarte,32
91011,91011 - La Cañada Flintridge,27 28
91016,91016 - Monrovia,27 32
91020,91020 - Montrose,28
91024,91024 - Sierra Madre,27
91030,91030 - South Pasadena,27 34
91040,"91040 - Los Angeles (Shadow Hills, Sunland)",28 29
91042,91042 - Los Angeles (Tujunga),25 27 28
91046,91046 - Verdugo City,28
91101,91101 - Pasadena,27
91103,91103 - Pasadena,27 28
91104,91104 - Pasadena,27
91105,91105 - Pasadena,27 28 34
91106,91106 - Pasadena,27
91107,91107 - Pasadena,27
91108,91108 - San Marino,27
91201,91201 - Glendale,28
91202,91202 - Glendale,28
91203,91203 - Glendale,28
91204,91204 - Glendale,28
91205,91205 - Glendale,28
91206,91206 - Glendale,28
91207,91207 - Glendale,28
91208,91208 - Glendale,28
91210,91210 - Glendale,28
91214,91214 - La Crescenta,28
91301,91301 - Agoura Hills,33
91302,91302 - Calabasas,30 33
91303,91303 - Los Angeles (Canoga Park),30
91304,"91304 - Los Angeles (Canoga Park, West Hills)",25 30
91306,91306 - Los Angeles (Winnetka),30
91307,91307 - Los Angeles (West Hills),30
91311,91311 - Los Angeles (Chatsworth),25 30
91316,91316 - Los Angeles (Encino),30
91321,91321 - Santa Clarita (Newhall),25 29
91324,91324 - Los Angeles (Northridge),30
91325,91325 - Los Angeles (Northridge),30
91326,91326 - Los Angeles (Porter Ranch),25 30
91330,"91330 - Los Angeles (California State University, Northridge)",30
91331,"91331 - Los Angeles (Arleta, Pacoima)",28 29
91335,91335 - Los Angeles (Reseda),30
91340,91340 - San Fernando,29
91342,"91342 - Los Angeles (Lake View Terrace, Sylmar)",28 29 30
91343,91343 - Los Angeles (North Hills),29 30
91344,91344 - Los Angeles (Granada Hills),25 29 30
91345,91345 - Los Angeles (Mission Hills),29
91350,"91350 - Santa Clarita (Agua Dulce, Saugus)",25
91351,91351 - Santa Clarita (Canyon Country),25
91352,"91352 - Los Angeles (La Tuna Canyon, Sun Valley)",28 29
91354,91354 - Santa Clarita (Valencia),25
91355,91355 - Santa Clarita (Valencia),25
91356,91356 - Los Angeles (Tarzana),30
91364,91364 - Los Angeles (Woodland Hills),30 33
91367,91367 - Los Angeles (Woodland Hills),30
91371,91371 - Los Angeles (Woodland Hills-Pierce College),30
91381,91381 - Stevenson Ranch,25
91384,91384 - Castaic,25
91387,91387 - Santa Clarita (Canyon Country),25 28 29
91390,91390 - Santa Clarita,25 28
91401,91401 - Los Angeles (Van Nuys),29 30
91402,91402 - Los Angeles (Panorama City),29
91403,91403 - Los Angeles (Sherman Oaks),30
91405,91405 - Los Angeles (Van Nuys),29
91406,"91406 - Los Angeles (Lake Balboa, Van Nuys)",29 30
91411,91411 - Los Angeles (Van Nuys),29 30
91423,91423 - Los Angeles (Sherman Oaks),30
91436,91436 - Los Angeles (Encino),30
91501,91501 - Burbank,28
91502,91502 - Burbank,28
91504,91504 - Burbank,28 29
91505,91505 - Burbank,28 29 30
91506,91506 - Burbank,28 30
91601,91601 - Los Angeles (North Hollywood),29 30
91602,"91602 - Los Angeles (North Hollywood, Toluca Lake)",29 30
91604,91604 - Los Angeles (Studio City),30
91605,91605 - Los Angeles (North Hollywood),28 29
91606,91606 - Los Angeles (North Hollywood),29
91607,91607 - Los Angeles (Valley Village),29 30
91608,91608 - Universal City,28 30
91702,91702 - Azusa,27 32
91706,91706 - Baldwin Park,32
91711,91711 - Claremont,27 35
91722,91722 - Covina,32
91723,91723 - Covina,32
91724,91724 - Covina,32 39
91731,91731 - El Monte,27 32 38
91732,91732 - El Monte,27 32
91733,91733 - South El Monte,27 32 38
91740,91740 - Glendora,27 32
91741,91741 - Glendora,27
91744,91744 - La Puente,32
91745,91745 - Hacienda Heights,32 38 39
91746,91746 - La Puente,32 39
91748,91748 - Rowland Heights,32 39
91750,91750 - La Verne,27 32 35
91754,91754 - Monterey Park,27 40
91755,91755 - Monterey Park,27
91759,91759 - Mt Baldy,27
91765,91765 - Diamond Bar,35 39
91766,91766 - Pomona,35
91767,91767 - Pomona,27 32 35
91768,91768 - Pomona,32 35 39
91770,91770 - Rosemead,27 32 38
91773,91773 - San Dimas,27 32 35
91775,91775 - San Gabriel,27
91776,91776 - San Gabriel,27
91780,91780 - Temple City,27 32
91784,91784 - Temple City,27
91789,91789 - Walnut,32 35 39
91790,91790 - West Covina,32
91791,91791 - West Covina,32
91792,91792 - West Covina,32
91801,91801 - Alhambra,27
91803,91803 - Alhambra,27
93510,93510 - Acton,25 28
93532,93532 - Lake Hughes,25
93534,93534 - Lancaster,25
93535,93535 - Lancaster,25
93536,93536 - Lancaster,25
93543,93543 - Littlerock,25 27
93544,93544 - Llano,25 27
93550,93550 - Palmdale,25 27
93551,93551 - Palmdale,25
93552,93552 - Palmdale,25 27
93553,93553 - Pearblossom,25 27
93563,93563 - Valyermo,25 27
93591,93591 - Palmdale,25