"Zip","Place","Court","zcta5","total_count","count_owner_occ","percent_owner_occ","count_renter_occ","percent_renter_occ","median_rent","moderate_rb","extreme_rb","percent_mod_rb","percent_ex_rb","ami_weighted_sum","median_ami_diff"
91311,"LOS ANGELES","Chatsworth Courthouse",91311,14122,9244,65.4581504036256,4878,34.5418495963745,1825,3097,2142,63.4891348913489,43.9114391143911,39031.4533352216,8856
91324,"LOS ANGELES","Chatsworth Courthouse",91324,9925,5119,51.5768261964736,4806,48.4231738035264,1636,3024,2400,62.9213483146067,49.9375780274657,31103.6814105793,-1351
91326,"LOS ANGELES","Chatsworth Courthouse",91326,12888,9384,72.8119180633147,3504,27.1880819366853,1895,2175,1565,62.0719178082192,44.6632420091324,68981.4456083178,35565
91331,"LOS ANGELES","Chatsworth Courthouse",91331,23367,14396,61.6082509521975,8971,38.3917490478025,1387,6649,4854,74.1165979266525,54.1076803031992,6754.44734026619,-16940
91340,"LOS ANGELES","Chatsworth Courthouse",91340,8870,4849,54.6674182638106,4021,45.3325817361894,1343,2782,2096,69.1867694603333,52.1263367321562,4233.34261555806,-23736
91344,"LOS ANGELES","Chatsworth Courthouse",91344,16820,12628,75.077288941736,4192,24.922711058264,1754,2828,1935,67.4618320610687,46.1593511450382,42309.6255648038,14986
91343,"LOS ANGELES (North of Lassen)","Chatsworth Courthouse",91343,17850,9052,50.7114845938375,8798,49.2885154061625,1311,6201,4824,70.4819277108434,54.8306433280291,11236.2933333333,-14509
91304,"LOS ANGELES (North of Roscoe)","Chatsworth Courthouse",91304,17225,8743,50.7576197387518,8482,49.2423802612482,1419,6230,4156,73.4496580995048,48.9978778589955,22600.8295500726,-9018
91306,"LOS ANGELES (North of Roscoe)","Chatsworth Courthouse",91306,14510,8197,56.4920744314266,6313,43.5079255685734,1354,4656,3143,73.7525740535403,49.7861555520355,17793.5293590627,-9431
91325,"LOS ANGELES (South of Roscoe)","Chatsworth Courthouse",91325,11748,5620,47.8379298604018,6128,52.1620701395982,1490,4444,3395,72.5195822454308,55.4014360313316,22262.4393088185,-8658
90002,"LOS ANGELES","Compton Courthouse",90002,12706,4540,35.7311506374941,8166,64.2688493625059,1147,6202,4673,75.9490570658829,57.2250795983346,-15844.1347394932,-41890
90003,"LOS ANGELES (South of Manchester)","Compton Courthouse",90003,17127,4856,28.3528930927775,12271,71.6471069072225,1178,9564,7388,77.9398582022655,60.2069920951838,-14839.7058445729,-40074
90059,"LOS ANGELES","Compton Courthouse",90059,10628,4898,46.085811065111,5730,53.914188934889,988,4324,3143,75.4624781849913,54.8516579406632,-11391.5051750094,-35305
90061,"LOS ANGELES","Compton Courthouse",90061,7318,3009,41.1177917463788,4309,58.8822082536212,1158,3085,2405,71.5943374332792,55.8134137851009,-8092.47936594698,-37561
90810,"LOS ANGELES","Compton Courthouse",90810,9334,5142,55.0889222198414,4192,44.9110777801586,1181,2649,1792,63.1917938931298,42.7480916030534,4092.0948146561,-19205
90502,"LOS ANGELES","Governor George Deukmejian Courthouse",90502,6011,3849,64.0326068873731,2162,35.9673931126269,1464,1191,873,55.0878815911193,40.3792784458834,22585.4345366827,-7476
90710,"LOS ANGELES","Governor George Deukmejian Courthouse",90710,9162,4805,52.4448810303427,4357,47.5551189696573,1166,2591,1791,59.4675235253615,41.1062657792059,11914.9432438332,-17483
90717,"LOS ANGELES","Governor George Deukmejian Courthouse",90717,8515,3961,46.5179095713447,4554,53.4820904286553,1312,2712,1954,59.5520421607378,42.907334211682,NA,-8150
90731,"LOS ANGELES","Governor George Deukmejian Courthouse",90731,22624,7108,31.4179632248939,15516,68.5820367751061,1267,10216,7811,65.841711781387,50.3415828821861,8635.68648338048,-26139
90733,"LOS ANGELES","Governor George Deukmejian Courthouse",90731,22624,7108,31.4179632248939,15516,68.5820367751061,1267,10216,7811,65.841711781387,50.3415828821861,8635.68648338048,-26139
90744,"LOS ANGELES","Governor George Deukmejian Courthouse",90744,14638,5444,37.1908730700915,9194,62.8091269299085,1111,6465,4724,70.3175984337611,51.3813356536872,-5185.38174614018,-29524
90045,"LOS ANGELES","Inglewood Courthouse",90045,15514,8041,51.8306046151863,7473,48.1693953848137,1924,4699,3258,62.8797002542486,43.5969490164593,57225.0897898672,19512
90094,"LOS ANGELES","Inglewood Courthouse",90094,4345,1643,37.8135788262371,2702,62.1864211737629,2967,1563,1119,57.8460399703923,41.4137675795707,NA,69025
90245,"LOS ANGELES","Inglewood Courthouse",90245,6639,2938,44.2536526585329,3701,55.7463473414671,1785,1924,1090,51.9859497433126,29.4514995947041,NA,21513
90247,"LOS ANGELES","Inglewood Courthouse",90247,15886,6172,38.8518192118847,9714,61.1481807881153,1228,6626,4850,68.2108297302862,49.9279390570311,5107.74209996223,-25914
90248,"LOS ANGELES","Inglewood Courthouse",90248,3822,2717,71.0884353741497,1105,28.9115646258503,1239,851,644,77.0135746606335,58.2805429864253,16593.7912087912,-15121
90501,"LOS ANGELES","Inglewood Courthouse",90501,14244,6157,43.2252176354956,8087,56.7747823645044,1367,4860,3401,60.096451094349,42.0551502411277,24805.1321960124,-6629
90732,"LOS ANGELES","Inglewood Courthouse",90732,8522,6036,70.8284440272237,2486,29.1715559727763,1961,1521,1099,61.1826226870475,44.2075623491553,54470.8594226707,22219
90056,"LOS ANGELES (west of La Tijera)","Inglewood Courthouse",90056,3374,2251,66.7160640189686,1123,33.2839359810314,1740,804,551,71.5939447907391,49.0650044523598,NA,8800
90045,"LOS ANGELES INTERNATIONAL AIRPORT","Inglewood Courthouse",90045,15514,8041,51.8306046151863,7473,48.1693953848137,1924,4699,3258,62.8797002542486,43.5969490164593,57225.0897898672,19512
91042,"LOS ANGELES","Pasadena Courthouse",91042,9854,5185,52.6182261010757,4669,47.3817738989243,1361,3333,2716,71.3857357035768,58.1709145427286,NA,-21793
91214,"LOS ANGELES","Pasadena Courthouse",91214,10240,7854,76.69921875,2386,23.30078125,1840,1588,1245,66.5549036043588,52.1793797150042,56161.5143554688,23325
91352,"LOS ANGELES","Pasadena Courthouse",91352,12474,6742,54.0484207150874,5732,45.9515792849126,1347,4196,3174,73.2030704815073,55.3733426378228,3735.69416386083,-22123
91504,"LOS ANGELES","Pasadena Courthouse",91504,9414,4973,52.8255789250053,4441,47.1744210749947,1580,2908,1946,65.480747579374,43.8189596937627,31237.7639685575,-1475
91505,"LOS ANGELES","Pasadena Courthouse",91505,12835,6010,46.8250876509544,6825,53.1749123490456,1808,4108,2755,60.1904761904762,40.3663003663004,NA,7351
91601,"LOS ANGELES","Pasadena Courthouse",91601,16809,3283,19.5312035219228,13526,80.4687964780772,1440,8923,6607,65.9692444181576,48.8466656809108,NA,-24693
91604,"LOS ANGELES","Pasadena Courthouse",91604,14808,6797,45.9008643976229,8011,54.0991356023771,1840,4608,3240,57.5209087504681,40.4443889651729,69340.5093192869,26170
91607,"LOS ANGELES","Pasadena Courthouse",91607,13673,4097,29.9641629488773,9576,70.0358370511227,1485,6396,4791,66.7919799498747,50.031328320802,NA,-15161
90008,"LOS ANGELES","Santa Monica Courthouse",90008,14834,5004,33.7333153566132,9830,66.2666846433868,1157,7452,5622,75.8087487283825,57.1922685656155,-2146.99743831738,-37393
90009,"LOS ANGELES","Santa Monica Courthouse",90045,15514,8041,51.8306046151863,7473,48.1693953848137,1924,4699,3258,62.8797002542486,43.5969490164593,57225.0897898672,19512
90024,"LOS ANGELES","Santa Monica Courthouse",90024,16737,5140,30.7104021031248,11597,69.2895978968752,2157,7569,6367,65.2668793653531,54.902129861171,28338.1187190058,-13994
90025,"LOS ANGELES","Santa Monica Courthouse",90025,22105,5881,26.6048405338159,16224,73.3951594661841,1918,9960,6451,61.3905325443787,39.7620808678501,44677.6380004524,6355
90049,"LOS ANGELES","Santa Monica Courthouse",90049,16647,8498,51.0482369195651,8149,48.9517630804349,2149,4596,3029,56.3995582280034,37.1702049331206,97239.0984561783,50358
90064,"LOS ANGELES","Santa Monica Courthouse",90064,10958,6159,56.2055119547363,4799,43.7944880452637,1936,2747,1855,57.2410918941446,38.6538862262971,64849.1805986494,18565
90066,"LOS ANGELES","Santa Monica Courthouse",90066,25225,9387,37.213082259663,15838,62.786917740337,1698,9765,6186,61.6555120596035,39.0579618638717,37516.6521704658,1788
90067,"LOS ANGELES","Santa Monica Courthouse",90067,1375,1132,82.3272727272727,243,17.6727272727273,3042,186,167,76.5432098765432,68.7242798353909,NA,52006
90077,"LOS ANGELES","Santa Monica Courthouse",90077,3276,2767,84.4627594627595,509,15.5372405372405,2304,128,128,25.147347740668,25.147347740668,NA,133533
90080,"LOS ANGELES","Santa Monica Courthouse",90045,15514,8041,51.8306046151863,7473,48.1693953848137,1924,4699,3258,62.8797002542486,43.5969490164593,57225.0897898672,19512
90081,"LOS ANGELES","Santa Monica Courthouse",90017,10869,435,4.00220811482197,10434,95.997791885178,1009,7399,5158,70.9124017634656,49.4345409239026,-15664.405557089,-45877
90083,"LOS ANGELES","Santa Monica Courthouse",90045,15514,8041,51.8306046151863,7473,48.1693953848137,1924,4699,3258,62.8797002542486,43.5969490164593,57225.0897898672,19512
90230,"LOS ANGELES","Santa Monica Courthouse",90230,13204,7284,55.1651014843987,5920,44.8348985156013,1664,3531,2135,59.6452702702703,36.0641891891892,NA,3377
90232,"LOS ANGELES","Santa Monica Courthouse",90232,6410,2398,37.4102964118565,4012,62.5897035881435,1702,2190,1361,54.5862412761715,33.9232303090728,NA,4864
90272,"LOS ANGELES","Santa Monica Courthouse",90272,9008,7278,80.7948490230906,1730,19.2051509769094,2490,829,616,47.9190751445087,35.606936416185,NA,116851
90290,"LOS ANGELES","Santa Monica Courthouse",90290,2236,1745,78.04114490161,491,21.95885509839,2236,238,185,48.4725050916497,37.6782077393075,NA,41367
90291,"LOS ANGELES","Santa Monica Courthouse",90291,13612,4455,32.7284748751102,9157,67.2715251248898,1972,5170,3523,56.4595391503768,38.4732991154308,NA,14479
90292,"LOS ANGELES","Santa Monica Courthouse",90292,12381,3809,30.764881673532,8572,69.235118326468,2851,5507,3329,64.2440503966402,38.8357442837144,NA,31968
90293,"LOS ANGELES","Santa Monica Courthouse",90293,6679,3149,47.1477766132655,3530,52.8522233867345,2074,1780,1138,50.4249291784703,32.2379603399433,NA,26574
90295,"LOS ANGELES","Santa Monica Courthouse",90292,12381,3809,30.764881673532,8572,69.235118326468,2851,5507,3329,64.2440503966402,38.8357442837144,NA,31968
90402,"LOS ANGELES","Santa Monica Courthouse",90402,4874,3357,68.8756668034469,1517,31.1243331965531,1893,640,495,42.188529993408,32.6301911667765,NA,69811
90035,"LOS ANGELES (East of La Cienega)","Santa Monica Courthouse",90035,12329,4027,32.6628274799254,8302,67.3371725200746,1864,5219,3846,62.8643700313178,46.3261864610937,NA,2234
90034,"LOS ANGELES (West of La Cienega)","Santa Monica Courthouse",90034,25878,4985,19.2634670376381,20893,80.7365329623618,1649,12318,7572,58.9575455894319,36.241803474848,26982.8280392611,-6005
90293,"LOS ANGELES INTERNATIONAL AIRPORT","Santa Monica Courthouse",90293,6679,3149,47.1477766132655,3530,52.8522233867345,2074,1780,1138,50.4249291784703,32.2379603399433,NA,26574
90001,"LOS ANGELES","Stanley Mosk Courthouse",90001,13815,4966,35.9464350343829,8849,64.0535649656171,1087,6190,4671,69.9514069386371,52.7856254944061,-13162.8788273616,-38779
90004,"LOS ANGELES","Stanley Mosk Courthouse",90004,21971,3670,16.7038368758818,18301,83.2961631241182,1229,12458,8443,68.0727829080378,46.1340910332769,287.194938782941,-28546
90005,"LOS ANGELES","Stanley Mosk Courthouse",90005,16442,1303,7.92482666342294,15139,92.0751733365771,1138,11091,7819,73.2611136798996,51.6480612986327,-10663.9001338037,-42151
90006,"LOS ANGELES","Stanley Mosk Courthouse",90006,19419,1708,8.79550955250013,17711,91.2044904474999,1071,12850,9025,72.5537801366383,50.9570323527751,-14574.7729028271,-41889
90007,"LOS ANGELES","Stanley Mosk Courthouse",90007,11884,1344,11.3093234601144,10540,88.6906765398856,1154,7216,5705,68.4629981024668,54.1271347248577,-21019.6337933356,-52074
90010,"LOS ANGELES","Stanley Mosk Courthouse",90010,1961,420,21.4176440591535,1541,78.5823559408465,1841,964,794,62.5567813108371,51.5249837767683,NA,-15451
90011,"LOS ANGELES","Stanley Mosk Courthouse",90011,24160,6213,25.716059602649,17947,74.283940397351,1123,13541,10220,75.4499359224383,56.9454504931186,-15627.3491721854,-40346
90012,"LOS ANGELES","Stanley Mosk Courthouse",90012,12736,1307,10.2622487437186,11429,89.7377512562814,1518,7760,4963,67.8974538454808,43.4246215766909,-1751.43993404523,-35025
90013,"LOS ANGELES","Stanley Mosk Courthouse",90013,6966,607,8.71375251220212,6359,91.2862474877979,768,4296,2545,67.557792105677,40.0220160402579,NA,-55624
90014,"LOS ANGELES","Stanley Mosk Courthouse",90014,5496,170,3.09315866084425,5326,96.9068413391557,1559,3674,1708,68.9823507322568,32.0690950056327,NA,-41443
90015,"LOS ANGELES","Stanley Mosk Courthouse",90015,9423,1236,13.1168417701369,8187,86.8831582298631,1204,5753,3824,70.2699401490167,46.7081959203615,-5110.53104106972,-38284
90016,"LOS ANGELES","Stanley Mosk Courthouse",90016,17087,6515,38.1284017089015,10572,61.8715982910985,1204,7215,5436,68.2463110102157,51.4188422247446,-519.884239480306,-30620
90017,"LOS ANGELES","Stanley Mosk Courthouse",90017,10869,435,4.00220811482197,10434,95.997791885178,1009,7399,5158,70.9124017634656,49.4345409239026,-15664.405557089,-45877
90018,"LOS ANGELES","Stanley Mosk Courthouse",90018,16426,4996,30.4151954218921,11430,69.5848045781079,1122,8003,6094,70.0174978127734,53.3158355205599,-4817.23615000609,-35532
90019,"LOS ANGELES","Stanley Mosk Courthouse",90019,24756,6951,28.0780416868638,17805,71.9219583131362,1319,11977,8226,67.2676214546476,46.2005054759899,8303.31390370011,-24675
90020,"LOS ANGELES","Stanley Mosk Courthouse",90020,16396,1483,9.04488899731642,14913,90.9551110026836,1303,10474,7385,70.2340240059009,49.520552538054,-563.875518419127,-30796
90021,"LOS ANGELES","Stanley Mosk Courthouse",90021,1758,160,9.10125142207053,1598,90.8987485779295,548,1057,644,66.1451814768461,40.3003754693367,NA,-62151
